iter	Passed	Remaining
0	180	90022
1	210	52366
2	240	39794
3	270	33484
4	300	29714
5	329	27136
6	359	25286
7	388	23886
8	417	22795
9	447	21919
10	478	21272
11	509	20703
12	539	20219
13	570	19809
14	600	19403
15	630	19070
16	659	18748
17	690	18486
18	720	18227
19	749	17976
20	776	17700
21	806	17526
22	833	17283
23	863	17124
24	893	16985
25	921	16807
26	951	16667
27	981	16537
28	1007	16368
29	1036	16244
30	1063	16089
31	1093	15985
32	1119	15845
33	1147	15721
34	1177	15648
35	1206	15553
36	1233	15434
37	1259	15313
38	1289	15241
39	1315	15131
40	1341	15019
41	1367	14911
42	1394	14816
43	1423	14753
44	1453	14691
45	1476	14570
46	1501	14476
47	1530	14415
48	1556	14329
49	1582	14246
50	1607	14149
51	1634	14080
52	1660	14005
53	1687	13934
54	1714	13874
55	1743	13827
56	1775	13798
57	1805	13760
58	1836	13724
59	1865	13680
60	1889	13599
61	1919	13558
62	1949	13521
63	1979	13487
64	2009	13450
65	2041	13422
66	2070	13377
67	2099	13337
68	2130	13305
69	2156	13250
70	2187	13218
71	2218	13190
72	2246	13140
73	2276	13107
74	2308	13079
75	2335	13031
76	2367	13006
77	2397	12970
78	2428	12940
79	2458	12907
80	2490	12882
81	2519	12845
82	2550	12813
83	2579	12775
84	2610	12746
85	2640	12713
86	2664	12650
87	2695	12620
88	2724	12582
89	2752	12538
90	2783	12510
91	2815	12486
92	2842	12439
93	2871	12403
94	2902	12373
95	2935	12355
96	2969	12335
97	2999	12306
98	3030	12274
99	3058	12234
100	3089	12206
101	3119	12173
102	3149	12139
103	3183	12120
104	3213	12088
105	3247	12069
106	3280	12049
107	3309	12013
108	3340	11982
109	3372	11956
110	3402	11922
111	3437	11909
112	3471	11889
113	3503	11863
114	3535	11837
115	3566	11806
116	3599	11783
117	3637	11777
118	3667	11743
119	3698	11712
120	3733	11693
121	3763	11660
122	3795	11634
123	3823	11594
124	3853	11561
125	3880	11519
126	3910	11485
127	3941	11456
128	3974	11430
129	4005	11400
130	4032	11357
131	4065	11333
132	4097	11307
133	4125	11269
134	4159	11245
135	4190	11214
136	4219	11179
137	4247	11142
138	4281	11120
139	4315	11096
140	4346	11066
141	4377	11037
142	4410	11011
143	4445	10990
144	4474	10955
145	4508	10932
146	4539	10901
147	4572	10875
148	4606	10851
149	4639	10824
150	4672	10799
151	4706	10775
152	4738	10745
153	4766	10708
154	4798	10680
155	4834	10660
156	4866	10631
157	4901	10610
158	4936	10586
159	4966	10553
160	4993	10515
161	5028	10490
162	5057	10456
163	5090	10428
164	5120	10395
165	5148	10358
166	5180	10330
167	5212	10301
168	5240	10264
169	5275	10240
170	5308	10214
171	5340	10183
172	5371	10152
173	5405	10127
174	5439	10102
175	5473	10075
176	5506	10048
177	5537	10017
178	5562	9975
179	5595	9946
180	5625	9914
181	5659	9888
182	5695	9865
183	5726	9833
184	5759	9806
185	5789	9773
186	5824	9749
187	5858	9723
188	5891	9694
189	5926	9669
190	5958	9639
191	5989	9608
192	6022	9580
193	6052	9546
194	6086	9520
195	6120	9492
196	6151	9460
197	6182	9430
198	6216	9403
199	6250	9375
200	6283	9347
201	6316	9318
202	6347	9286
203	6379	9257
204	6414	9229
205	6446	9200
206	6476	9167
207	6509	9138
208	6540	9106
209	6572	9076
210	6607	9050
211	6641	9022
212	6676	8996
213	6713	8972
214	6747	8944
215	6783	8918
216	6816	8889
217	6847	8858
218	6882	8830
219	6908	8793
220	6943	8765
221	6975	8734
222	7006	8702
223	7039	8673
224	7069	8640
225	7102	8610
226	7136	8583
227	7165	8548
228	7200	8521
229	7233	8491
230	7266	8461
231	7298	8431
232	7332	8402
233	7365	8373
234	7398	8343
235	7428	8309
236	7462	8281
237	7497	8254
238	7531	8224
239	7564	8194
240	7596	8163
241	7626	8130
242	7662	8103
243	7697	8075
244	7728	8043
245	7763	8015
246	7795	7984
247	7829	7955
248	7862	7925
249	7896	7896
250	7929	7866
251	7963	7836
252	7994	7804
253	8025	7772
254	8059	7743
255	8093	7713
256	8126	7684
257	8161	7655
258	8195	7626
259	8228	7595
260	8258	7561
261	8293	7533
262	8327	7504
263	8357	7471
264	8391	7441
265	8426	7413
266	8460	7383
267	8491	7351
268	8523	7319
269	8557	7290
270	8592	7260
271	8626	7231
272	8660	7200
273	8691	7169
274	8723	7137
275	8760	7109
276	8792	7078
277	8825	7047
278	8858	7017
279	8892	6986
280	8927	6957
